省份,城市,区县,一级场景类型,二级场景类型,场点名称,2019年6月前网络覆盖情况,场点编号,场点边界,获取方式,数据来源,场点在网站中的ID,初核结果（通过/未通过）,未通过审核原因,网优复核结果（通过/未通过）,是否是规划站（是/否）,是否有楼宇信息（是/否）
湖南省,株洲市,天元区,党政机关,政府部门（对公）,株洲市住房公积金管理中心,,湖南省-株洲市-天元区-党政机关-政府部门（对公）-株洲市住房公积金管理中心,"{[113.12581998818463,27.823183779616244];[113.12597320228056,27.822826918035073];[113.12640671829716,27.822966493563847];[113.12627753656896,27.823258373762513];[113.12595715569968,27.82315894968728];[113.12592911658342,27.823222924111878];[113.12581998818463,27.823183779616244]}",网站爬取,高德地图,B0FFIV0QGQ,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,华晨第一城,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-华晨第一城,"{[113.074804,27.815530];[113.077973,27.815384];[113.078666,27.811850];[113.073916,27.810813];[113.074804,27.815530]}",网站爬取,高德地图,B0FFI8PH6C,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,华晨山水洲城原山美墅,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-华晨山水洲城原山美墅,"{[113.074804,27.815530];[113.077973,27.815384];[113.078666,27.811850];[113.073916,27.810813];[113.074804,27.815530]}",网站爬取,高德地图,B0FFI8PH6C,,,,,
湖南省,株洲市,天元区,住宅,大型住宅小区-高层,华晨山水洲城,,湖南省-株洲市-天元区-住宅-大型住宅小区-高层-华晨山水洲城,"{[113.074804,27.815530];[113.077973,27.815384];[113.078666,27.811850];[113.073916,27.810813];[113.074804,27.815530]}",网站爬取,高德地图,B0FFI8PH6C,,,,,
湖南省,株洲市,芦淞区,商业购物区,大型商业购物区,汉华国际,,湖南省-株洲市-芦淞区-商业购物区-大型商业购物区-汉华国际,"{[113.148145416446,27.8392283069993];[113.148847573254,27.839484524049];[113.148782434507,27.8398394721563];[113.148285544802,27.8405217506153];[113.147661533212,27.8401786562271];[113.148145416446,27.8392283069993]}",网站爬取,高德地图,B0FFHXSM13,,,,,
湖南省,株洲市,天元区,宾馆酒店区,五星级及以上宾馆酒店,株洲美的万豪酒店,,湖南省-株洲市-天元区-宾馆酒店区-五星级及以上宾馆酒店-株洲美的万豪酒店,"{[113.07896,27.835197];[113.077406,27.834447];[113.078057,27.833577];[113.079575,27.834416];[113.07896,27.835197]}",网站爬取,高德地图,B0FFHU5LPY,,,,,
湖南省,株洲市,天元区,商业购物区,大型商业购物区,麦德龙,,湖南省-株洲市-天元区-商业购物区-大型商业购物区-麦德龙,"{[113.07896,27.835197];[113.077406,27.834447];[113.078057,27.833577];[113.079575,27.834416];[113.07896,27.835197]}",网站爬取,高德地图,B0FFHU5LPY,,,,,
湖南省,株洲市,天元区,商业购物区,大型商业购物区,美的时代广场购物区,,湖南省-株洲市-天元区-商业购物区-大型商业购物区-美的时代广场购物区,"{[113.07896,27.835197];[113.077406,27.834447];[113.078057,27.833577];[113.079575,27.834416];[113.07896,27.835197]}",网站爬取,高德地图,B0FFHU5LPY,,,,,
湖南省,株洲市,天元区,商业购物区,大型商业购物区,中传国际影城,,湖南省-株洲市-天元区-商业购物区-大型商业购物区-中传国际影城,"{[113.07896,27.835197];[113.077406,27.834447];[113.078057,27.833577];[113.079575,27.834416];[113.07896,27.835197]}",网站爬取,高德地图,B0FFHU5LPY,,,,,
湖南省,株洲市,天元区,商业购物区,大型商业购物区,株洲少儿智库美的时代广场校区,,湖南省-株洲市-天元区-商业购物区-大型商业购物区-株洲少儿智库美的时代广场校区,"{[113.07896,27.835197];[113.077406,27.834447];[113.078057,27.833577];[113.079575,27.834416];[113.07896,27.835197]}",网站爬取,高德地图,B0FFHU5LPY,,,,,
